id,supplier_id,brand_id,list_price,cost,description,category_id,catalog_number,weight,condition,is_obsolete,ship_time,freight_class
2930307,9,9,6.57,2.76,Climax GSC-206-Z 2 1/16^ ID Set Screw Collar STL Zinc,116,GSC-206-Z,0.9312,1,FALSE,24,50
2930308,9,9,7.67,3.22,Climax GSC-212-DT 2 1/8^ ID Set Screw Collar STLUNPLATED,116,GSC-212-DT,0.8312,1,FALSE,24,50
2930309,9,9,8.81,3.7,Climax GSC-218-DT 2 3/16^ ID Set Screw Collar STLUNPLATED,116,GSC-218-DT,1.1625,1,FALSE,24,50
2930310,9,9,8.67,3.64,Climax GSC-225-DT 2 1/4^ ID Set Screw Collar STLUNPLATED,116,GSC-225-DT,1.1062,1,FALSE,24,50
2930311,9,9,8.95,3.76,Climax GSC-231-B 2 5/16^ ID Set Screw Collar STL BO,116,GSC-231-B,1.05,1,FALSE,24,50
2930312,9,9,8.95,3.76,Climax GSC-231-DT 2 5/16^ ID Set Screw Collar STLUNPLATED,116,GSC-231-DT,1.05,1,FALSE,24,50
2930313,9,9,7.62,3.2,Climax GSC-231-Z 2 5/16^ ID Set Screw Collar STL Zinc,116,GSC-231-Z,1.05,1,FALSE,24,50
2930314,9,9,8.98,3.77,Climax GSC-237-DT 2 3/8^ ID Set Screw Collar STLUNPLATED,116,GSC-237-DT,0.9938,1,FALSE,24,50
2930315,9,9,9.83,4.13,Climax GSC-243-DT 2 7/16^ ID Set Screw Collar STLUNPLATED,116,GSC-243-DT,1.3625,1,FALSE,24,50
2930316,9,9,9.88,4.15,Climax GSC-250-DT 2 1/2^ ID Set Screw Collar STLUNPLATED,116,GSC-250-DT,1.3,1,FALSE,24,50
2930317,9,9,11.36,4.77,Climax GSC-256-B 2 9/16^ ID Set Screw Collar STL BO,116,GSC-256-B,1.6225,1,FALSE,24,50
2930318,9,9,11.36,4.77,Climax GSC-256-DT 2 9/16^ ID Set Screw Collar STLUNPLATED,116,GSC-256-DT,1.6225,1,FALSE,24,50
2930319,9,9,79.33,33.32,Climax GSC-256-SS 2 9/16^ ID Set Screw Collar SS,116,GSC-256-SS,1.613283,1,FALSE,24,50
2930320,9,9,9.52,4,Climax GSC-256-Z 2 9/16^ ID Set Screw Collar STL Zinc,116,GSC-256-Z,1.6225,1,FALSE,24,50
2930321,9,9,12.43,5.22,Climax GSC-262-DT 2 5/8^ ID Set Screw Collar STLUNPLATED,116,GSC-262-DT,2.2181,1,FALSE,24,50
2930322,9,9,13.45,5.65,Climax GSC-268-B 2 11/16^ ID Set Screw Collar STL BO,116,GSC-268-B,2.15,1,FALSE,24,50
2930323,9,9,13.45,5.65,Climax GSC-268-DT 2 11/16^ ID Set Screw Collar STLUNPLATED,116,GSC-268-DT,2.15,1,FALSE,24,50
2930324,9,9,87.05,36.56,Climax GSC-268-SS 2 11/16^ ID Set Screw Collar SS,116,GSC-268-SS,2.137787,1,FALSE,24,50
2930325,9,9,11.21,4.71,Climax GSC-268-Z 2 11/16^ ID Set Screw Collar STL Zinc,116,GSC-268-Z,2.15,1,FALSE,24,50
2930326,9,9,14.33,6.02,Climax GSC-275-DT 2 3/4^ ID Set Screw Collar STLUNPLATED,116,GSC-275-DT,2.0938,1,FALSE,24,50
2930327,9,9,14.33,6.02,Climax GSC-281-B 2 13/16^ ID Set Screw Collar STL BO,116,GSC-281-B,1.8562,1,FALSE,24,50
2930328,9,9,14.33,6.02,Climax GSC-281-DT 2 13/16^ ID Set Screw Collar STLUNPLATED,116,GSC-281-DT,1.8562,1,FALSE,24,50
2930329,9,9,12.52,5.26,Climax GSC-281-Z 2 13/16^ ID Set Screw Collar STL Zinc,116,GSC-281-Z,1.8563,1,FALSE,24,50
2930330,9,9,14.33,6.02,Climax GSC-287-DT 2 7/8^ ID Set Screw Collar STLUNPLATED,116,GSC-287-DT,1.8562,1,FALSE,24,50
2930331,9,9,15.6,6.55,Climax GSC-293-DT 2 15/16^ ID Set Screw Collar STLUNPLATED,116,GSC-293-DT,1.8312,1,FALSE,24,50
2930332,9,9,15.6,6.55,Climax GSC-300-DT 3^ ID Set Screw Collar STLUNPLATED,116,GSC-300-DT,1.7312,1,FALSE,24,50
2930333,9,9,17.64,7.41,Climax GSC-325-Z 3-1/4^ ID Set Screw Collar STL Zinc,116,GSC-325-Z,2.1875,1,FALSE,24,50
2930334,9,9,20.36,8.55,Climax GSC-343-B 3 7/16^ ID Set Screw Collar STL BO,116,GSC-343-B,2.0625,1,FALSE,24,50
2930335,9,9,20.36,8.55,Climax GSC-343-DT 3 7/16^ ID Set Screw Collar STLUNPLATED,116,GSC-343-DT,2.5438,1,FALSE,24,50
2930336,9,9,18.48,7.76,Climax GSC-343-Z 3 7/16^ ID Set Screw Collar STL Zinc,116,GSC-343-Z,2.0625,1,FALSE,24,50
2930337,9,9,18.81,7.9,Climax GSC-350-Z 3 1/2^ ID Set Screw Collar STL Zinc,116,GSC-350-Z,2.5438,1,FALSE,24,50
2930338,9,9,21.45,9.01,Climax GSC-393-B 3 15/16^ ID Set Screw Collar STL BO,116,GSC-393-B,2.35,1,FALSE,24,50
2930339,9,9,21.45,9.01,Climax GSC-393-DT 3 15/16^ ID Set Screw Collar STLUNPLATED,116,GSC-393-DT,2.35,1,FALSE,24,50
2930340,9,9,19.45,8.17,Climax GSC-393-Z 3 15/16^ ID Set Screw Collar STL Zinc,116,GSC-393-Z,2.35,1,FALSE,24,50
2930341,9,9,21.83,9.17,Climax GSC-400-Z 4^ ID Stl Set Screw Clr Set Screw Collar STL Zinc,116,GSC-400-Z,2.4375,1,FALSE,24,50
2930342,9,9,28.55,11.99,Climax GSCC-025-025-S 1/4^ X 1/4^ ID SPLIT Clamp Coupling SS,152,GSCC-025-025-S,0.140497,1,FALSE,24,50
2930343,9,9,11.57,4.86,Climax GSCC-037-025 3/8^ X 1/4^ ID SPLIT Clamp Coupling STL BO,152,GSCC-037-025,0.3206,1,FALSE,24,50
2930344,9,9,36.86,15.48,Climax GSCC-037-025-S 3/8^ X 1/4^ ID SPLIT Clamp Coupling SS,152,GSCC-037-025-S,0.318778,1,FALSE,24,50
2930345,9,9,31.93,13.41,Climax GSCC-037-037-S 3/8 X 3/8 ID SPLIT Clamp Coupling SS,152,GSCC-037-037-S,0.308239,1,FALSE,24,50
2930346,9,9,17.14,7.2,Climax GSCC-050-037 1/2^ X 3/8^ ID SPLIT Clamp Coupling STL BO,152,GSCC-050-037,0.5069,1,FALSE,24,50
2930347,9,9,42.95,18.04,Climax GSCC-050-037-S 1/2^ X 3/8^ ID SPLIT Clamp Coupling SS,152,GSCC-050-037-S,0.50402,1,FALSE,24,50
2930348,9,9,36.86,15.48,Climax GSCC-050-050-S 1/2^ X 1/2^ ID SPLIT Clamp Coupling SS,152,GSCC-050-050-S,0.478566,1,FALSE,24,50
2930349,9,9,50.76,21.32,Climax GSCC-050-050SKW 1/2^ X 1/2^ ID SPLIT KW Clamp Coupling SS,152,GSCC-050-050SKW,0.474314,1,FALSE,24,50
2930350,9,9,20.02,8.41,Climax GSCC-062-050 5/8^ X 1/2^ ID SPLIT Clamp Coupling STL BO,152,GSCC-062-050,0.8312,1,FALSE,24,50
2930351,9,9,60.43,25.38,Climax GSCC-062-050-S 5/8^ X 1/2^ ID SPLIT Clamp Coupling SS,152,GSCC-062-050-S,0.826478,1,FALSE,24,50
2930352,9,9,57.36,24.09,Climax GSCC-062-062-S 5/8^ X 5/8^ ID SPLIT Clamp Coupling SS,152,GSCC-062-062-S,0.826578,1,FALSE,24,50
