ID</li></ul>,ADDITIONAL_DESCRIPTION</li></ul>
5059332</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:13.76 lb</li><li>Bearing Width:1.6929 in</li><li>C0 - Static Radial Rating:30500 lbf</li><li>Cage Type:Ball Piloted, Pressed Brass Cage</li><li>Ce - Dynamic Radial Rating:40000 lbf</li><li>Contact Angle:40 &deg;</li><li>D - Outer Diameter:7.4803 in</li><li>Da - Outer Ring Backing Diameter:6.930 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):2500 rpm</li><li>Limiting Speed (Oil):2860 rpm</li><li>R - Inner Ring ""To Clear"" Radius:0.118 in</li><li>d - Bore:3.5433 in</li><li>da - Inner Ring Backing Diameter:4.090 in</li><li>do - Ball Diameter:1.25000 in</li><li>r - Outer Ring ""To Clear"" Radius:0.118 in</li></ul>"
5059335</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:18.12 lb</li><li>Bearing Width:1.8504 in</li><li>C0 - Static Radial Rating:40000 lbf</li><li>Cage Type:Outer Ring Piloted, Machined Bronze Cage</li><li>Ce - Dynamic Radial Rating:49000 lbf</li><li>Contact Angle:40 &deg;</li><li>D - Outer Diameter:8.4646 in</li><li>Da - Outer Ring Backing Diameter:6.870 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.098 in</li><li>d - Bore:3.9370 in</li><li>da - Inner Ring Backing Diameter:5.635 in</li><li>do - Ball Diameter:1.43750 in</li><li>r - Outer Ring ""To Clear"" Radius:0.098 in</li></ul>"
5059345</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.07 lb</li><li>Bearing Width:0.3543 in</li><li>C0 - Static Radial Rating:660 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:1600 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:1.1811 in</li><li>Da - Outer Ring Backing Diameter:1.030 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):62800 rpm</li><li>Limiting Speed (Oil):125600 rpm</li><li>R - Inner Ring ""To Clear"" Radius:0.024 in</li><li>d - Bore:0.3937 in</li><li>da - Inner Ring Backing Diameter:0.590 in</li><li>do - Ball Diameter:0.218750 in</li><li>r - Outer Ring ""To Clear"" Radius:0.024 in</li></ul>"
5059347</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.08 lb</li><li>Bearing Width:0.3937 in</li><li>C0 - Static Radial Rating:860 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:1970 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:1.2598 in</li><li>Da - Outer Ring Backing Diameter:1.110 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):56700 rpm</li><li>Limiting Speed (Oil):113400 rpm</li><li>R - Inner Ring ""To Clear"" Radius:0.024 in</li><li>d - Bore:0.4724 in</li><li>da - Inner Ring Backing Diameter:0.650 in</li><li>do - Ball Diameter:0.234380 in</li><li>r - Outer Ring ""To Clear"" Radius:0.024 in</li></ul>"
5059483</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:1.54 lb</li><li>C - Ring Width:1.1880 in</li><li>C0 - Static Radial Rating:11600 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:14600 lbf</li><li>Contact Angle:30 &deg;</li><li>D - Outer Diameter:3.3456 in</li><li>Da - Outer Ring Backing Diameter:3.014 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.7717 in</li><li>da - Inner Ring Backing Diameter:2.324 in</li><li>do - Ball Diameter:0.46900 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5058981</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.57 lb</li><li>Bearing Width:0.6299 in</li><li>C0 - Static Radial Rating:4670 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:6270 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:3.1496 in</li><li>Da - Outer Ring Backing Diameter:2.920 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):16300 rpm</li><li>Limiting Speed (Oil):32600 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.9685 in</li><li>da - Inner Ring Backing Diameter:2.210 in</li><li>do - Ball Diameter:0.34375 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5058987</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:2.59 lb</li><li>Bearing Width:0.9843 in</li><li>C0 - Static Radial Rating:14600 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:19800 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:5.1181 in</li><li>Da - Outer Ring Backing Diameter:4.760 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):10800 rpm</li><li>Limiting Speed (Oil):21600 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:2.9528 in</li><li>da - Inner Ring Backing Diameter:3.360 in</li><li>do - Ball Diameter:0.687500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
5059037</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.16 lb</li><li>C - Ring Width:0.6250 in</li><li>C0 - Static Radial Rating:1600 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:3050 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:1.3780 in</li><li>Da - Outer Ring Backing Diameter:1.165 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.024 in</li><li>d - Bore:0.5906 in</li><li>da - Inner Ring Backing Diameter:0.720 in</li><li>do - Ball Diameter:0.23400 in</li><li>r - Outer Ring ""To Clear"" Radius:0.024 in</li></ul>"
5059038</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.23 lb</li><li>C - Ring Width:0.6880 in</li><li>C0 - Static Radial Rating:2080 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:3800 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:1.5748 in</li><li>Da - Outer Ring Backing Diameter:1.463 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.024 in</li><li>d - Bore:0.6693 in</li><li>da - Inner Ring Backing Diameter:0.848 in</li><li>do - Ball Diameter:0.26600 in</li><li>r - Outer Ring ""To Clear"" Radius:0.024 in</li></ul>"
5059043</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.360 lb</li><li>C - Ring Width:0.8120 in</li><li>C0 - Static Radial Rating:2850 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:5100 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:1.8504 in</li><li>Da - Outer Ring Backing Diameter:1.689 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:0.7874 in</li><li>da - Inner Ring Backing Diameter:1.025 in</li><li>do - Ball Diameter:0.31300 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
