"ID","WEIGHT"
484276,"35"
484271,"48"
484267,"111"
484265,"47"
484263,"137"
484261,"29"
484259,"31"
484258,"31"
484253,"80"
484221,"34"
484217,"37"
484206,"72"
484204,"147"
484199,"72"
484198,"69"
484196,"69"
484194,"145"
484190,"64"
484188,"64"
484186,"123"
484185,"134"
484181,"141"
484177,"34.24"
484172,"46.24"
484171,"136"
484167,"45.38"
484166,"135"
484164,"137"
484161,"59"
484159,"61"
484156,"115"
484154,"133"
484152,"61"
484151,"58"
484149,"58"
484145,"130"
484144,"60"
484142,"60"
484138,"57"
484136,"131"
484134,"126"
484124,"39.24"
484122,"121"
484120,"120"
484110,"44"
484106,"110"
484105,"46"
484102,"43"
484101,"43"
484098,"131"
484097,"126"
484096,"126"
484095,"125"
484093,"24"
484092,"29"
484091,"29"
484090,"121"
484089,"120"
484088,"30"
484087,"30"
484085,"105"
484084,"39"
484083,"39"
484079,"38"
484075,"117"
484074,"117"
484072,"24"
484069,"112"
484068,"26"
484067,"26"
484066,"81"
484034,"30"
484032,"25"
484024,"26"
484015,"132"
484009,"59"
484006,"60"
484003,"58"
483997,"129"
483992,"30.24"
483986,"38.24"
483985,"124"
483982,"37.38"
483978,"55"
483976,"53"
483974,"120"
483970,"52"
483968,"50"
483963,"116"
483960,"50"
483955,"118"
483952,"110"
483945,"24.24"
483942,"31.24"
483933,"93"
483932,"93"
483931,"93"
483930,"41"
483927,"38"
483926,"38"
483924,"87"
483920,"40"
483917,"37"
483914,"110"
483910,"21"
483908,"24"
483906,"105"
483904,"26"
483903,"26"
483901,"83"
483900,"83"
483899,"83"
483898,"40"
483897,"34"
483895,"81"
483894,"81"
483893,"81"
483892,"33"
483889,"100"
483886,"20"
483885,"20"
483883,"95"
483882,"91"
483880,"22"
483877,"71"
483875,"63"
483740,"53"
483736,"23.24"
483726,"109"
483723,"48"
483719,"107"
483713,"45"
483710,"102"
483696,"34"
483693,"84"
483691,"39"
483688,"37"
483687,"37"
483683,"19"
483676,"30"
483675,"30"
483672,"29"
483671,"30"
483668,"94"
483666,"18"
483665,"18"
483663,"20"
483623,"52"
483621,"49"
483619,"48"
483615,"26.24"
483613,"20.24"
483611,"27.24"
483605,"104"
483604,"102"
483602,"44"
483600,"42"
483598,"102"
483597,"100"
483593,"40"
483589,"90"
483584,"20.24"
483582,"27.24"
483579,"26.38"
483577,"86"
483575,"86"
483573,"32"
483563,"31"
483560,"90"
483559,"90"
483557,"18"
483556,"18"
470026,"0.2"
483553,"22"
483552,"22"
483548,"78"
483547,"78"
483545,"28"
483541,"75"
483538,"28"
483537,"28"
483534,"83"
483532,"81"
483531,"17"
483529,"78"
483527,"22"
483426,"0.14"
483422,"0.23"
483420,"0.25"
483419,"0.23"
483418,"0.21"
483416,"0.23"
483415,"0.33"
483414,"0.16"
483411,"0.2"
483410,"0.18"
483409,"0.23"
483408,"0.25"
483407,"0.23"
483405,"0.2"
483404,"0.2"
483403,"0.14"
483400,"6.66"
483384,"2.82"
483373,"2.19"
483353,"3.42"
483304,"5.5"
483291,"11.56"
483219,"9.5"
483172,"7.11"
482897,"9.6"
482894,"6.7"
482892,"5.2"
482885,"4"
482859,"8.8"
482855,"7"
482793,"11"
482756,"5.8"
482733,"14.44"
482731,"12.8"
482446,"0.93"
482403,"6.1"
482399,"3.1"
482393,"1.91"
482388,"21.6"
482385,"72"
482383,"24.8"
482381,"22.79"
482380,"21.49"
482379,"77.9"
482378,"65.99"
482363,"20.17"
482362,"19"
482361,"19.01"
482360,"15.9"
482358,"13.5"
482356,"13.5"
482353,"8.5"
482351,"14.4"
482349,"8.4"
482348,"7"
482345,"5.5"
482343,"5.6"
482342,"4.2"
482340,"4.2"
482338,"17.4"
482337,"20"
482336,"13.5"
482335,"21"
482334,"16"
482332,"11.4"
482331,"13.5"
482329,"18"
482317,"3.8"
