"ID","DETAIL_ATTRIBUTES"
478600,"Capscrews:Stainless Steel Capscrews|Continuous Torque Rating:2,300 lb-in / 260 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):7.00|Length (in):4.00|Major Diameter of Coupling:7.25 in / 184mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.212|Volume unit:CDM|Width (in):7.00"
478601,"Capscrews:Standard Imperial|Continuous Torque Rating:2,875 lb-in / 325 Nm|Coupling Style:Close Coupled|Element Material:Heavy Duty Yellow (HDY)|Element Style:+25% Greater Torque Capacity|Height (in):7.00|Length (in):4.00|Major Diameter of Coupling:7.25 in / 184mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.212|Volume unit:CDM|Width (in):7.00"
478602,"Capscrews:Standard Imperial|Continuous Torque Rating:2,300 lb-in / 260 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):7.00|Length (in):4.00|Major Diameter of Coupling:7.25 in / 184mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.212|Volume unit:CDM|Width (in):7.00"
478603,"Capscrews:Metric Capscrews|Continuous Torque Rating:2,300 lb-in / 260 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:7.25 in / 184mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
478604,"Capscrews:Metric Capscrews|Continuous Torque Rating:2,300 lb-in / 260 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:7.25 in / 184mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
478607,"Capscrews:Standard Imperial|Continuous Torque Rating:3,650 lb-in / 412 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:8.25 in / 210mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.104|Volume unit:GLL|Width (in):6.00"
478608,"Capscrews:Stainless Steel Capscrews|Continuous Torque Rating:3,650 lb-in / 412 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):8.00|Length (in):4.00|Major Diameter of Coupling:8.25 in / 210mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:4.195|Volume unit:CDM|Width (in):8.00"
478609,"Capscrews:Standard Imperial|Continuous Torque Rating:4,560 lb-in / 515 Nm|Coupling Style:Close Coupled|Element Material:Heavy Duty Yellow (HDY)|Element Style:+25% Greater Torque Capacity|Height (in):8.00|Length (in):4.00|Major Diameter of Coupling:8.25 in / 210mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:4.195|Volume unit:CDM|Width (in):8.00"
478610,"Capscrews:Standard Imperial|Continuous Torque Rating:3,650 lb-in / 412 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):8.00|Length (in):4.00|Major Diameter of Coupling:8.25 in / 210mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:4.195|Volume unit:CDM|Width (in):8.00"
478611,"Capscrews:Metric Capscrews|Continuous Torque Rating:3,650 lb-in / 412 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:8.25 in / 210mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
478612,"Capscrews:Metric Capscrews|Continuous Torque Rating:4,560 lb-in / 515 Nm|Coupling Style:Close Coupled|Element Material:Heavy Duty Yellow (HDY)|Element Style:+25% Greater Torque Capacity|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:8.25 in / 210mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
478613,"Capscrews:Metric Capscrews|Continuous Torque Rating:3,650 lb-in / 412 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:8.25 in / 210mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
478619,"Capscrews:Standard Imperial|Continuous Torque Rating:5,500 lb-in / 621 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:9.50 in / 241mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.104|Volume unit:GLL|Width (in):6.00"
478620,"Capscrews:Standard Imperial|Continuous Torque Rating:6,875 lb-in / 777 Nm|Coupling Style:Close Coupled|Element Material:Heavy Duty Yellow (HDY)|Element Style:+25% Greater Torque Capacity|Height (in):8.00|Length (in):5.00|Major Diameter of Coupling:9.50 in / 241mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:5.244|Volume unit:CDM|Width (in):8.00"
478621,"Capscrews:Standard Imperial|Continuous Torque Rating:5,500 lb-in / 621 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):8.00|Length (in):5.00|Major Diameter of Coupling:9.50 in / 241mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:5.244|Volume unit:CDM|Width (in):8.00"
478622,"Capscrews:Metric Capscrews|Continuous Torque Rating:5,500 lb-in / 621 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):12.00|Length (in):12.00|Major Diameter of Coupling:9.50 in / 241mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:0.283|Volume unit:Hectoliter|Width (in):12.00"
478623,"Capscrews:Metric Capscrews|Continuous Torque Rating:5,500 lb-in / 621 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):12.00|Length (in):12.00|Major Diameter of Coupling:9.50 in / 241mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:0.283|Volume unit:Hectoliter|Width (in):12.00"
478626,"Capscrews:Standard Imperial|Continuous Torque Rating:7,650 lb-in / 864 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:11.00 in / 280mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.104|Volume unit:GLL|Width (in):6.00"
478627,"Capscrews:Standard Imperial|Continuous Torque Rating:9,560 lb-in / 1,080 Nm|Coupling Style:Close Coupled|Element Material:Heavy Duty Yellow (HDY)|Element Style:+25% Greater Torque Capacity|Height (in):11.00|Length (in):5.00|Major Diameter of Coupling:11.00 in / 280mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:9.914|Volume unit:CDM|Width (in):11.00"
478628,"Capscrews:Standard Imperial|Continuous Torque Rating:7,650 lb-in / 864 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):11.00|Length (in):5.00|Major Diameter of Coupling:11.00 in / 280mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:9.914|Volume unit:CDM|Width (in):11.00"
478629,"Capscrews:Metric Capscrews|Continuous Torque Rating:7,650 lb-in / 864 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):11.00|Length (in):5.00|Major Diameter of Coupling:11.00 in / 280mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:9.914|Volume unit:CDM|Width (in):11.00"
478630,"Capscrews:Metric Capscrews|Continuous Torque Rating:7,650 lb-in / 864 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):11.00|Length (in):5.00|Major Diameter of Coupling:11.00 in / 280mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:9.914|Volume unit:CDM|Width (in):11.00"
478635,"Capscrews:Standard Imperial|Continuous Torque Rating:12,500 lb-in / 1,412 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:12.50 in / 318mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.104|Volume unit:GLL|Width (in):6.00"
478636,"Capscrews:Standard Imperial|Continuous Torque Rating:15,625 lb-in / 1,765 Nm|Coupling Style:Close Coupled|Element Material:Heavy Duty Yellow (HDY)|Element Style:+25% Greater Torque Capacity|Height (in):13.00|Length (in):6.00|Major Diameter of Coupling:12.50 in / 318mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:0.166|Volume unit:Hectoliter|Width (in):13.00"
478637,"Capscrews:Standard Imperial|Continuous Torque Rating:12,500 lb-in / 1,412 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):13.00|Length (in):6.00|Major Diameter of Coupling:12.50 in / 318mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:0.166|Volume unit:Hectoliter|Width (in):13.00"
478638,"Capscrews:Metric Capscrews|Continuous Torque Rating:12,500 lb-in / 1,412 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):13.00|Length (in):6.00|Major Diameter of Coupling:12.50 in / 318mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:0.166|Volume unit:Hectoliter|Width (in):13.00"
478639,"Capscrews:Metric Capscrews|Continuous Torque Rating:12,500 lb-in / 1,412 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):13.00|Length (in):6.00|Major Diameter of Coupling:12.50 in / 318mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:0.166|Volume unit:Hectoliter|Width (in):13.00"
478644,"Capscrews:Standard Imperial|Continuous Torque Rating:12,500 lb-in / 1,412 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:Torsionally Matched|Height (in):13.00|Length (in):6.00|Major Diameter of Coupling:12.50 in / 318mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:0.166|Volume unit:Hectoliter|Width (in):13.00"
478645,"Capscrews:Standard Imperial|Continuous Torque Rating:22,125 lb-in / 2,500 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):17.00|Length (in):17.00|Major Diameter of Coupling:14.00 in / 356mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:0.474|Volume unit:Hectoliter|Width (in):10.00"
478646,"Capscrews:Stainless Steel Capscrews|Continuous Torque Rating:22,125 lb-in / 2,500 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):14.00|Length (in):7.00|Major Diameter of Coupling:14.00 in / 356mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:0.225|Volume unit:Hectoliter|Width (in):14.00"
