"ID","DETAIL_ATTRIBUTES"
758027,"Gear Drive Size:NeptunePlus|Height (in):48.00|Length (in):48.00|Volume Unit:Cubic meter|Width (in):48.00"
758032,"Gear Drive Size:NeptunePlus|Height (in):48.00|Length (in):48.00|Volume Unit:Cubic meter|Width (in):48.00"
758068,"Gear Drive Size:Polaris|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
758073,"Gear Drive Size:Polaris|Height (in):23.00|Length (in):25.00|Volume Unit:Hectoliter|Width (in):23.00"
758074,"Gear Drive Size:Polaris|Height (in):18.00|Length (in):22.00|Volume Unit:Hectoliter|Width (in):36.00"
758076,"Gear Drive Size:Polaris|Height (in):24.00|Length (in):38.00|Volume Unit:Cubic meter|Width (in):24.00"
758082,"Gear Drive Size:Polaris|Height (in):24.00|Length (in):34.00|Volume Unit:Cubic meter|Width (in):24.00"
758083,"Gear Drive Size:Polaris|Height (in):24.00|Length (in):32.00|Volume Unit:Cubic meter|Width (in):24.00"
758086,"Gear Drive Size:Polaris|Height (in):24.00|Length (in):34.00|Volume Unit:Cubic meter|Width (in):24.00"
758307,"Gear Drive Size:Luna;OrionPlus;NeptunePlus;TitanPlus|Height (in):2.00|Length (in):3.00|Volume Unit:GLL|Width (in):2.00"
758308,"Gear Drive Size:Luna;OrionPlus;NeptunePlus;TitanPlus|Height (in):3.00|Length (in):3.00|Volume Unit:GLL|Width (in):3.00"
758309,"Gear Drive Size:Luna;OrionPlus;NeptunePlus|Height (in):3.00|Length (in):3.00|Volume Unit:GLL|Width (in):3.00"
758340,"Gear Drive Size:NeptunePlus;OrionPlus|Height (in):3.00|Length (in):7.00|Volume Unit:GLL|Width (in):3.00"
758341,"Gear Drive Size:NeptunePlus;OrionPlus|Height (in):4.00|Length (in):7.00|Volume Unit:GLL|Width (in):4.00"
758342,"Gear Drive Size:NeptunePlus;OrionPlus|Height (in):5.00|Length (in):7.00|Volume Unit:GLL|Width (in):5.00"
758345,"Gear Drive Size:NeptunePlus|Height (in):4.00|Length (in):12.00|Volume Unit:GLL|Width (in):4.00"
758346,"Gear Drive Size:NeptunePlus|Height (in):6.00|Length (in):12.00|Volume Unit:GLL|Width (in):6.00"
758347,"Gear Drive Size:NeptunePlus|Height (in):7.00|Length (in):12.00|Volume Unit:GLL|Width (in):7.00"
758356,"Gear Drive Size:Luna|Height (in):2.00|Length (in):5.00|Volume Unit:CDM|Width (in):2.00"
758357,"Gear Drive Size:Luna;OrionPlus;Venus|Height (in):3.00|Length (in):5.00|Volume Unit:GLL|Width (in):3.00"
758358,"Gear Drive Size:Luna;Venus|Height (in):3.00|Length (in):5.00|Volume Unit:GLL|Width (in):3.00"
758359,"Gear Drive Size:Luna|Height (in):2.00|Length (in):8.00|Volume Unit:CDM|Width (in):2.00"
758360,"Gear Drive Size:Luna|Height (in):3.00|Length (in):8.00|Volume Unit:GLL|Width (in):3.00"
758370,"Gear Drive Size:Delta|Height (in):2.00|Length (in):3.00|Volume Unit:GLL|Width (in):2.00"
758371,"Gear Drive Size:Delta|Height (in):3.00|Length (in):3.00|Volume Unit:GLL|Width (in):3.00"
758372,"Gear Drive Size:Delta|Height (in):3.00|Length (in):3.00|Volume Unit:GLL|Width (in):3.00"
758373,"Gear Drive Size:Delta|Height (in):2.00|Length (in):6.00|Volume Unit:GLL|Width (in):2.00"
758374,"Gear Drive Size:Delta|Height (in):3.00|Length (in):6.00|Volume Unit:GLL|Width (in):3.00"
758375,"Gear Drive Size:Delta|Height (in):4.00|Length (in):6.00|Volume Unit:GLL|Width (in):4.00"
758376,"Gear Drive Size:Delta|Height (in):4.00|Length (in):10.00|Volume Unit:GLL|Width (in):4.00"
758377,"Gear Drive Size:Delta|Height (in):5.00|Length (in):10.00|Volume Unit:Hectoliter|Width (in):5.00"
758384,"Gear Drive Size:Delta;Luna;NeptunePlus;OrionPlus|Height (in):7.00|Length (in):3.00|Volume Unit:GLL|Width (in):7.00"
758385,"Gear Drive Size:Delta;Luna;Neptune;NeptunePlus;OrionPlus;TitanPlus|Height (in):7.00|Length (in):3.00|Volume Unit:GLL|Width (in):7.00"
758386,"Gear Drive Size:Delta;Luna;Neptune;NeptunePlus;OrionPlus;TitanPlus|Height (in):7.00|Length (in):3.00|Volume Unit:GLL|Width (in):7.00"
758387,"Gear Drive Size:Earth;JupiterPlus;Neptune;NeptunePlus;OrionPlus;TitanPlus;Venus|Height (in):3.00|Length (in):3.00|Volume Unit:GLL|Width (in):3.00"
758388,"Gear Drive Size:Earth;JupiterPlus;Neptune;OrionPlus;TitanPlus;Venus|Height (in):4.00|Length (in):3.00|Volume Unit:GLL|Width (in):4.00"
758389,"Gear Drive Size:Earth;JupiterPlus;Neptune;NeptunePlus;OrionPlus;TitanPlus;Venus|Height (in):2.00|Length (in):3.00|Volume Unit:GLL|Width (in):2.00"
758390,"Gear Drive Size:Earth;JupiterPlus;Neptune;NeptunePlus;OrionPlus;TitanPlus;Venus|Height (in):8.00|Length (in):4.00|Volume Unit:GLL|Width (in):8.00"
758391,"Gear Drive Size:Earth;JupiterPlus;NeptunePlus;OrionPlus;TitanPlus;Venus|Height (in):8.00|Length (in):4.00|Volume Unit:GLL|Width (in):8.00"
758392,"Gear Drive Size:Earth;JupiterPlus;NeptunePlus;OrionPlus;TitanPlus;Venus|Height (in):8.00|Length (in):4.00|Volume Unit:GLL|Width (in):8.00"
758395,"Gear Drive Size:Earth;JupiterPlus;Neptune;NeptunePlus;OrionPlus;TitanPlus|Height (in):4.00|Length (in):4.00|Volume Unit:GLL|Width (in):4.00"
758396,"Gear Drive Size:Earth;JupiterPlus;Neptune;NeptunePlus;OrionPlus;TitanPlus|Height (in):5.00|Length (in):4.00|Volume Unit:GLL|Width (in):5.00"
758398,"Gear Drive Size:Earth;JupiterPlus;Neptune;NeptunePlus;OrionPlus;TitanPlus|Height (in):3.00|Length (in):4.00|Volume Unit:GLL|Width (in):3.00"
758399,"Gear Drive Size:Earth;JupiterPlus;NeptunePlus;OrionPlus;TitanPlus|Height (in):11.00|Length (in):5.00|Volume Unit:GLL|Width (in):11.00"
