ID,ATTRIBUTES
478756,"Product Size:ES60|Coupling Type:Elastomeric|Maximum RPM:2,800"
478757,"Product Size:ES60M|Coupling Type:Elastomeric|Maximum RPM:2,800"
478758,"Product Size:ES60M|Coupling Type:Elastomeric|Maximum RPM:2,800"
478759,"Product Size:ES60|Coupling Type:Elastomeric|Maximum RPM:3,800"
478760,"Product Size:ES60|Coupling Type:Elastomeric|Maximum RPM:2,800"
478762,"Product Size:ES70|Coupling Type:Elastomeric|Maximum RPM:2,600"
478763,"Product Size:ES70|Coupling Type:Elastomeric|Maximum RPM:2,600"
478764,"Product Size:ES70|Coupling Type:Elastomeric|Maximum RPM:2,600"
478765,"Product Size:ES70M|Coupling Type:Elastomeric|Maximum RPM:2,600"
478766,"Product Size:ES70M|Coupling Type:Elastomeric|Maximum RPM:2,600"
478767,"Product Size:ES70|Coupling Type:Elastomeric|Maximum RPM:3,600"
478769,"Product Size:ES80|Coupling Type:Elastomeric|Maximum RPM:1,800"
478770,"Product Size:ES80|Coupling Type:Elastomeric|Maximum RPM:1,800"
478771,"Product Size:ES80M|Coupling Type:Elastomeric|Maximum RPM:1,800"
478772,"Product Size:ES80M|Coupling Type:Elastomeric|Maximum RPM:1,800"
478773,"Product Size:ES80|Coupling Type:Elastomeric|Maximum RPM:2,000"
478774,"Product Size:E/ES5-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478775,"Product Size:E/ES4-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478777,"Product Size:E/ES30-R|Coupling Type:Elastomeric|Maximum RPM:5,800"
478778,"Product Size:E/ES70-R|Coupling Type:Elastomeric|Maximum RPM:3,600"
478779,"Product Size:E/ES20-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478780,"Product Size:E/ES10-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478794,Product Size:2|Coupling Type:Elastomeric
478796,Product Size:2M|Coupling Type:Elastomeric
478808,Product Size:2|Coupling Type:Elastomeric
478809,Product Size:2|Coupling Type:Elastomeric
478819,Product Size:2|Coupling Type:Elastomeric
478820,Product Size:2|Coupling Type:Elastomeric
478824,Product Size:2|Coupling Type:Elastomeric
478825,Product Size:3|Coupling Type:Elastomeric
478827,Product Size:3M|Coupling Type:Elastomeric
478828,Product Size:3|Coupling Type:Elastomeric
478829,Product Size:3|Coupling Type:Elastomeric
478830,Product Size:3|Coupling Type:Elastomeric
478831,Product Size:3|Coupling Type:Elastomeric
478833,Product Size:3|Coupling Type:Elastomeric
478834,Product Size:3|Coupling Type:Elastomeric
478835,Product Size:4|Coupling Type:Elastomeric
478837,Product Size:4M|Coupling Type:Elastomeric
478838,Product Size:4|Coupling Type:Elastomeric
478839,Product Size:4|Coupling Type:Elastomeric
478840,Product Size:4|Coupling Type:Elastomeric
478841,Product Size:4|Coupling Type:Elastomeric
478842,Product Size:4|Coupling Type:Elastomeric
478844,Product Size:4|Coupling Type:Elastomeric
478845,Product Size:4|Coupling Type:Elastomeric
478846,Product Size:4|Coupling Type:Elastomeric
478848,Product Size:4|Coupling Type:Elastomeric
478849,Product Size:4|Coupling Type:Elastomeric
478850,Product Size:4|Coupling Type:Elastomeric
478852,Product Size:4|Coupling Type:Elastomeric
478853,Product Size:5|Coupling Type:Elastomeric
478855,Product Size:5M|Coupling Type:Elastomeric
478856,Product Size:5|Coupling Type:Elastomeric
478857,Product Size:5|Coupling Type:Elastomeric
478858,Product Size:5|Coupling Type:Elastomeric
478859,Product Size:5|Coupling Type:Elastomeric
478881,Product Size:5|Coupling Type:Elastomeric
478882,Product Size:5|Coupling Type:Elastomeric
478896,Product Size:5|Coupling Type:Elastomeric
