"id", "catalog_number", "attributes", "detail_attributes"
"5023107","56211","Width (in):24","Belt Width (in):24|Belt Width (mm):610|Transfer Width (in):4|Mounting Bar Offset (mm):25|Transfer Width (mm):102|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):1.0"
"5023106","56206","Width (in):24","Belt Width (in):24|Belt Width (mm):610|Transfer Width (in):3|Mounting Bar Offset (mm):13|Transfer Width (mm):76|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):0.5"
"5023104","56151","Width (in):60","Belt Width (in):60|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):10|Transfer Width (mm):254|Belt Width (mm):1524"
"5023103","56143","Width (in):60","Belt Width (in):60|Belt Width (mm):1524|Transfer Width (in):9|Mounting Bar Offset (mm):13|Transfer Width (mm):229|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5023102","56135","Width (in):60","Belt Width (in):60|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):8|Transfer Width (mm):203|Belt Width (mm):1524"
"5023101","56131","Width (in):60","Belt Width (in):60|Belt Width (mm):1524|Transfer Width (in):8|Mounting Bar Offset (mm):25|Transfer Width (mm):203|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.0"
"5023100","56123","Width (in):60","Belt Width (in):60|Belt Width (mm):1524|Transfer Width (in):7|Mounting Bar Offset (mm):13|Transfer Width (mm):178|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5023098","56119","Width (in):60","Belt Width (in):60|Belt Width (mm):1524|Transfer Width (in):7|Mounting Bar Offset (mm):38|Transfer Width (mm):178|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.5"
"5023097","56115","Width (in):60","Belt Width (in):60|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):6|Transfer Width (mm):152|Belt Width (mm):1524"
"5023096","56111","Width (in):60","Belt Width (in):60|Belt Width (mm):1524|Transfer Width (in):6|Mounting Bar Offset (mm):25|Transfer Width (mm):152|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.0"
"5023095","56107","Width (in):60","Belt Width (in):60|Belt Width (mm):1524|Transfer Width (in):5|Mounting Bar Offset (mm):13|Transfer Width (mm):127|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5023094","56103","Width (in):60","Belt Width (in):60|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):4|Transfer Width (mm):102|Belt Width (mm):1524"
"5023093","56150","Width (in):48","Belt Width (in):48|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):10|Transfer Width (mm):254|Belt Width (mm):1219"
"5023092","56142","Width (in):48","Belt Width (in):48|Belt Width (mm):1219|Transfer Width (in):9|Mounting Bar Offset (mm):13|Transfer Width (mm):229|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5023091","56134","Width (in):48","Belt Width (in):48|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):8|Transfer Width (mm):203|Belt Width (mm):1219"
"5023090","56130","Width (in):48","Belt Width (in):48|Belt Width (mm):1219|Transfer Width (in):8|Mounting Bar Offset (mm):25|Transfer Width (mm):203|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.0"
"5023089","56122","Width (in):48","Belt Width (in):48|Belt Width (mm):1219|Transfer Width (in):7|Mounting Bar Offset (mm):13|Transfer Width (mm):178|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5023083","56118","Width (in):48","Belt Width (in):48|Belt Width (mm):1219|Transfer Width (in):7|Mounting Bar Offset (mm):38|Transfer Width (mm):178|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.5"
"5023082","56114","Width (in):48","Belt Width (in):48|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):6|Transfer Width (mm):152|Belt Width (mm):1219"
"5023081","56110","Width (in):48","Belt Width (in):48|Belt Width (mm):1219|Transfer Width (in):6|Mounting Bar Offset (mm):25|Transfer Width (mm):152|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.0"
"5023080","56106","Width (in):48","Belt Width (in):48|Belt Width (mm):1219|Transfer Width (in):5|Mounting Bar Offset (mm):13|Transfer Width (mm):127|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5023079","56102","Width (in):48","Belt Width (in):48|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):4|Transfer Width (mm):102|Belt Width (mm):1219"
"5023071","56190","Width (in):42","Belt Width (in):42|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):10|Transfer Width (mm):254|Belt Width (mm):1067"
"5023070","56189","Width (in):42","Belt Width (in):42|Belt Width (mm):1067|Transfer Width (in):9|Mounting Bar Offset (mm):13|Transfer Width (mm):229|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5023066","56188","Width (in):42","Belt Width (in):42|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):8|Transfer Width (mm):203|Belt Width (mm):1067"
"5023065","56187","Width (in):42","Belt Width (in):42|Belt Width (mm):1067|Transfer Width (in):8|Mounting Bar Offset (mm):25|Transfer Width (mm):203|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.0"
"5023064","56186","Width (in):42","Belt Width (in):42|Belt Width (mm):1067|Transfer Width (in):7|Mounting Bar Offset (mm):13|Transfer Width (mm):178|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5023063","56185","Width (in):42","Belt Width (in):42|Belt Width (mm):1067|Transfer Width (in):7|Mounting Bar Offset (mm):38|Transfer Width (mm):178|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.5"
"5023022","56105","Width (in):36","Belt Width (in):36|Belt Width (mm):914|Transfer Width (in):5|Mounting Bar Offset (mm):13|Transfer Width (mm):127|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5023021","56101","Width (in):36","Belt Width (in):36|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):4|Transfer Width (mm):102|Belt Width (mm):914"
"5022841","56148","Width (in):24","Belt Width (in):24|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):10|Transfer Width (mm):254|Belt Width (mm):610"
"5022840","56140","Width (in):24","Belt Width (in):24|Belt Width (mm):610|Transfer Width (in):9|Mounting Bar Offset (mm):13|Transfer Width (mm):229|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5022839","56132","Width (in):24","Belt Width (in):24|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):8|Transfer Width (mm):203|Belt Width (mm):610"
"5022837","56128","Width (in):24","Belt Width (in):24|Belt Width (mm):610|Transfer Width (in):8|Mounting Bar Offset (mm):25|Transfer Width (mm):203|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.0"
"5022836","56120","Width (in):24","Belt Width (in):24|Belt Width (mm):610|Transfer Width (in):7|Mounting Bar Offset (mm):13|Transfer Width (mm):178|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5022816","56116","Width (in):24","Belt Width (in):24|Belt Width (mm):610|Transfer Width (in):7|Mounting Bar Offset (mm):38|Transfer Width (mm):178|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.5"
"5022814","56112","Width (in):24","Belt Width (in):24|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):6|Transfer Width (mm):152|Belt Width (mm):610"
"5022813","56108","Width (in):24","Belt Width (in):24|Belt Width (mm):610|Transfer Width (in):6|Mounting Bar Offset (mm):25|Transfer Width (mm):152|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):1.0"
"5022812","56104","Width (in):24","Belt Width (in):24|Belt Width (mm):610|Transfer Width (in):5|Mounting Bar Offset (mm):13|Transfer Width (mm):127|Applications:Horizontal to Horizontal or Waterfall|Mounting Bar Offset (in):0.5"
"5022811","56100","Width (in):24","Belt Width (in):24|Applications:Horizontal to Horizontal or Waterfall|Transfer Width (in):4|Transfer Width (mm):102|Belt Width (mm):610"
"5022584","56026","Blade Width (in):60","Pole Length (mm):1829|Temperature Range (C):0&amp;#176; to 60&amp;#176;|Blade Height (in):3.0|Blade Height (mm):76|Pulley Diameter Range (mm):50 to 267|Pole/Mounting Material:304 Stainless Steel|Blade Durometer:85A Shore Hardness|Maximum Conveyor Span (mm):1778|Blade Width (in):60|Maximum Conveyor Span (in):70|Weight (kg):6.4|Blade Width (mm):1524|Temperature Range (F):+32&amp;#176; to 140&amp;#176;|Pole Length (in):72|Pulley Diameter Range (in):2 to 10.5|Weight (lbs):14.2|Blade Material:Blue Metal Detectable Urethane Tip with PVC Base"
"5022583","56025","Blade Width (in):54","Pole Length (mm):1676|Temperature Range (C):0&amp;#176; to 60&amp;#176;|Blade Height (in):3.0|Blade Height (mm):76|Pulley Diameter Range (mm):50 to 267|Pole/Mounting Material:304 Stainless Steel|Blade Durometer:85A Shore Hardness|Maximum Conveyor Span (mm):1626|Blade Width (in):54|Maximum Conveyor Span (in):64|Weight (kg):6.0|Blade Width (mm):1372|Temperature Range (F):+32&amp;#176; to 140&amp;#176;|Pole Length (in):66|Pulley Diameter Range (in):2 to 10.5|Weight (lbs):13.3|Blade Material:Blue Metal Detectable Urethane Tip with PVC Base"
"5022582","56024","Blade Width (in):48","Pole Length (mm):1524|Temperature Range (C):0&amp;#176; to 60&amp;#176;|Blade Height (in):3.0|Blade Height (mm):76|Pulley Diameter Range (mm):50 to 267|Pole/Mounting Material:304 Stainless Steel|Blade Durometer:85A Shore Hardness|Maximum Conveyor Span (mm):1473|Blade Width (in):48|Maximum Conveyor Span (in):58|Weight (kg):5.6|Blade Width (mm):1219|Temperature Range (F):+32&amp;#176; to 140&amp;#176;|Pole Length (in):60|Pulley Diameter Range (in):2 to 10.5|Weight (lbs):12.4|Blade Material:Blue Metal Detectable Urethane Tip with PVC Base"
