file-name,catalog-number,list-price,net-price,is-product-not-found
3-1255.xhtml,STL504,"$2,565.00","$1,462.05",
3-1256.xhtml,STL306HC,"$3,082.00","$1,756.74",
3-1257.xhtml,STL306,"$2,295.00","$1,308.15",
3-1258.xhtml,STL303HC,"$2,919.00","$1,663.83",
3-1259.xhtml,STL302,,,
3-126.xhtml,,,,/file/general/404top.png
3-1260.xhtml,ST1010A,"$1,531.00",$872.67,
3-1261.xhtml,ST1002A,"$2,667.00","$1,520.19",
3-1262.xhtml,ST556A,"$2,689.00","$1,532.73",
3-1263.xhtml,ST502A,"$1,886.00","$1,075.02",
3-1264.xhtml,ST306HCA,"$3,165.00","$1,804.05",
3-1265.xhtml,ST302HCA,"$2,465.00","$1,405.05",
3-1266.xhtml,ST302A,"$1,718.00",$979.26,
3-1267.xhtml,ST2514A,"$2,714.00","$1,546.98",
3-1268.xhtml,ST256A,"$1,949.00","$1,110.93",
3-1269.xhtml,ST254A,"$1,633.00",$930.81,
3-127.xhtml,,,,/file/general/404top.png
3-1270.xhtml,ST252A,"$1,581.00",$901.17,
3-1271.xhtml,ST201A,"$1,640.00",$934.80,
3-1272.xhtml,ST106A,"$1,444.00",$823.08,
3-1273.xhtml,ST102A,"$1,362.00",$776.34,
3-1274.xhtml,ST101A,"$1,431.00",$815.67,
3-1275.xhtml,,,,/file/general/404top.png
3-1276.xhtml,,,,/file/general/404top.png
3-1277.xhtml,SPH35SA,"$5,561.00","$3,169.77",
3-1278.xhtml,SPH35MA,"$5,494.00","$3,131.58",
3-1279.xhtml,SPH35A,"$4,655.00","$2,653.35",
3-128.xhtml,,,,/file/general/404top.png
3-1280.xhtml,SF5,"$4,104.00","$2,339.28",
3-1281.xhtml,S3000A,"$1,138.00",$648.66,
3-1282.xhtml,S2000A,$411.00,$234.27,
3-1283.xhtml,RPC55,$680.00,$387.60,
3-1284.xhtml,RPC25,$349.00,$198.93,
3-1285.xhtml,RP55A,"$1,488.00",$848.16,
3-1286.xhtml,RP25A,$725.00,$413.25,
3-1287.xhtml,RLS1002,"$1,360.00",$775.20,
3-1288.xhtml,RLS502,$931.00,$530.67,
3-1289.xhtml,RLS302,$755.00,$430.35,
3-129.xhtml,,,,/file/general/404top.png
3-1290.xhtml,RLS201,$672.00,$383.04,
3-1291.xhtml,RLS101,$452.00,$257.64,
3-1292.xhtml,RLR10010,"$2,796.00","$1,593.72",
3-1293.xhtml,RLR1006,,,
3-1294.xhtml,RLR5010,,,
3-1295.xhtml,RLR506,,,
3-1296.xhtml,RLN1006,,,
3-1297.xhtml,RLN5010,,,
3-1298.xhtml,RLN506,,,
3-1299.xhtml,RLN502,,,
3-13.xhtml,,,,/file/general/404top.png
3-130.xhtml,,,,/file/general/404top.png
3-1300.xhtml,RLN306,,,
3-1301.xhtml,RLN302,,,
3-1302.xhtml,RFS150,"$2,202.00","$1,255.14",
3-1303.xhtml,RFS100,"$1,853.00","$1,056.21",
3-1304.xhtml,RFS75,"$1,364.00",$777.48,
3-1305.xhtml,RFS50,"$1,006.00",$573.42,
3-1306.xhtml,RFS30,$867.00,$494.19,
3-1307.xhtml,RFS20,$751.00,$428.07,
3-1308.xhtml,RFS10,$449.00,$255.93,
3-1309.xhtml,RDP1006,,,
3-131.xhtml,,,,/file/general/404top.png
3-1310.xhtml,RDP506,"$5,965.00","$3,400.05",
3-1311.xhtml,RDP306,"$4,695.00","$2,676.15",
3-1312.xhtml,RDP106,"$1,979.00","$1,128.03",
