id,catalog_number,attributes,detail_attributes
5902858,1321087119,Hz:60|Voltage:230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TENV|Frame:143TC,
5902857,1321087117,Hz:60|Voltage:230/460|Phase:3|Hp:3/4|RPM:1800|Enclosure:TENV|Frame:56C,
5902856,1321087115,Hz:60|Voltage:230/460|Phase:3|Hp:1/2|RPM:1800|Enclosure:TENV|Frame:56C,
5902855,1321087113,Hz:60|Voltage:230/460|Phase:3|Hp:3/4|RPM:1800|Enclosure:TENV|Frame:56C,
5902854,1321087112,Hz:60|Voltage:230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TENV|Frame:56C,
5902853,1313087161,Hz:60|Voltage:230/460|Phase:3|Hp:1|RPM:3600|Enclosure:TEFC|Frame:56C,
5902852,1313087156,Hz:60|Voltage:230/460|Phase:3|Hp:1|RPM:3600|Enclosure:TEFC|Frame:56C,
5902851,1313087154,Hz:60|Voltage:230/460|Phase:3|Hp:1-1/2|RPM:3600|Enclosure:TEFC|Frame:145TC,
5902850,1313087153,Hz:60|Voltage:230/460|Phase:3|Hp:2|RPM:3600|Enclosure:TEFC|Frame:145TC,
5902849,1313087152,Hz:60|Voltage:230/460|Phase:3|Hp:2|RPM:3600|Enclosure:TEFC|Frame:56C,
5902848,1311087159,Hz:60|Voltage:460|Phase:3|Hp:3/4|RPM:900|Enclosure:TEFC|Frame:56C,
5902847,1311087152,Hz:60|Voltage:208-230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TEFC|Frame:56YZ,
5902846,1311087138,Hz:60|Voltage:208-230/460|Phase:3|Hp:1|RPM:1200|Enclosure:TEFC|Frame:56C,
5902845,1311087130,Hz:60|Voltage:208-230/460|Phase:3|Hp:1|RPM:1150|Enclosure:TEFC|Frame:143TC,
5902844,1311087125,Hz:60|Voltage:208-230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TEFC|Frame:143TC,
5902843,1311087124,Hz:60|Voltage:208-230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TEFC|Frame:143TC,
5902842,1311087123,Hz:60|Voltage:208-230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TEFC|Frame:56C,
5902841,1311087122,Hz:60|Voltage:208-230/460|Phase:3|Hp:3/4|RPM:1800|Enclosure:TEFC|Frame:56C,
5902840,1311087121,Hz:60|Voltage:208-230/460|Phase:3|Hp:3/4|RPM:1800|Enclosure:TEFC|Frame:56C,
5902839,1311087120,Hz:60|Voltage:208-230/460|Phase:3|Hp:2|RPM:1800|Enclosure:TEFC|Frame:145TC,
5902838,1311087119,Hz:60|Voltage:208-230/460|Phase:3|Hp:2|RPM:1800|Enclosure:TEFC|Frame:56C,
5902837,1311087118,Hz:60|Voltage:208-230/460|Phase:3|Hp:1-1/2|RPM:1800|Enclosure:TEFC|Frame:145TC,
5902836,1311087117,Hz:60|Voltage:208-230/460|Phase:3|Hp:1-1/2|RPM:1800|Enclosure:TEFC|Frame:56C,
5902835,1311087115,Hz:60|Voltage:208-230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TEFC|Frame:56C,
5902834,1311087114,Hz:60|Voltage:208-230/460|Phase:3|Hp:2|RPM:1800|Enclosure:TEFC|Frame:56C,
5902833,1311087113,Hz:60|Voltage:208-230/460|Phase:3|Hp:2|RPM:1800|Enclosure:TEFC|Frame:145TC,
5902832,1311087111,Hz:60|Voltage:208-230/460|Phase:3|Hp:1-1/2|RPM:1800|Enclosure:TEFC|Frame:145TC,
5902831,1311087110,Hz:60|Voltage:208-230/460|Phase:3|Hp:1-1/2|RPM:1800|Enclosure:TEFC|Frame:56C,
5902830,12536OT3E404TS-W40G,Hz:60|Voltage:230/460|Phase:3|Hp:125|RPM:3600|Enclosure:ODP|Frame:404TS,
5902829,12536OT3E404TS-W40,Hz:60|Voltage:230/460|Phase:3|Hp:125|RPM:3600|Enclosure:ODP|Frame:404TS,
5902828,12518OT3H405T-W40G,Hz:60|Voltage:575|Phase:3|Hp:125|RPM:1800|Enclosure:ODP|Frame:405T,
5902827,12512OT3G445T-W40G,Hz:60|Voltage:460|Phase:3|Hp:125|RPM:1200|Enclosure:ODP|Frame:445T,
5902826,FLC-X320-OS-W21X,,
5902825,FLC-X280-OS-W21X,,
5902824,FLD-X250-OS-W21X,,
5902823,FLC-X250-OS-W21X,,
5902822,FLD-X320-OS-W21X,,
5902821,FLC-X320-W21X,,
5902820,FLC-X280-W21X,,
5902819,FLC-X250-W21X,,
5902818,FLD-X280-OS-W21X,,
5902817,GF-11416170,,
5902816,GASKET-11179488,,
5902815,FLD-X320-W21X,,
5902814,GASKET-10688523,,
5902813,MAQ-RTD-10169756,,
5902812,RTD-PT100-10166325,,
5902811,SPRING-10157512,,
5902810,SBM-180/210,,
5902809,FLD-X280-W21X,,
5902808,10036OT3V365JPV-W40,Hz:60|Voltage:200/400|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365JP,
5902807,10036OT3H365JPV-W40,Hz:60|Voltage:575|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365JP,
5902806,10036OT3E365TS-W40G,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365TS,
5902805,10036OT3E365TSCF2-W4,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365TSC,
5902804,10036OT3E365TS-W40,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365TS,
5902803,10036OT3E365JPV-W40,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365JP,
5902802,10036OT3E365JP-W40,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365JP,
5902801,10036OT3E365JM-W40,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365JM,
5902800,10036OP3VFP365JPV-W4,Hz:60|Voltage:200/400|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365JP,
5902799,10036OP3HFP365JPV-W4,Hz:60|Voltage:575|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365JP,
5902798,10036OP3EFP365JPV-W4,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:3600|Enclosure:ODP|Frame:365JP,
5902797,GF-10032497,,
5902796,WAVY WASHER 28X34,,
5902795,10018OT3V404JPV-W40,Hz:60|Voltage:200/400|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404JP,
5902794,10018OT3H404T-W40G,Hz:60|Voltage:575|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404T,
5902793,10018OT3H404T-W40,Hz:60|Voltage:575|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404T,
5902792,10018OT3G404T-W40,Hz:60|Voltage:460|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404T,
5902791,10018OT3G404JM-W40,Hz:60|Voltage:460|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404JM,
5902790,10018OT3E404TSCF3-W4,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404TSC,
5902789,10018OT3E404TF2-W40,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404T,
5902788,10018OT3E404T-W40,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404T,
5902787,10018OT3E404JPV-W40,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404JP,
5902786,10018OT3E404JM-W40,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404JM,
5902785,10018OP3VFP404JPV-W4,Hz:60|Voltage:200/400|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404JP,
5902784,10018OP3EFP404JPV-W4,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:1800|Enclosure:ODP|Frame:404JP,
5902783,FOAM-10018954,,
5902782,FLD-X250-W21X,,
5902781,10012OT3G444T-W40,Hz:60|Voltage:460|Phase:3|Hp:100|RPM:1200|Enclosure:ODP|Frame:444T,
5902780,10012OT3E444T-W40G,Hz:60|Voltage:230/460|Phase:3|Hp:100|RPM:1200|Enclosure:ODP|Frame:444T,
5902779,07536OT3V364JPV-W40,Hz:60|Voltage:200/400|Phase:3|Hp:75|RPM:3600|Enclosure:ODP|Frame:364JP,
5902778,07536OT3H364JPV-W40,Hz:60|Voltage:575|Phase:3|Hp:75|RPM:3600|Enclosure:ODP|Frame:364JP,
5902777,07536OT3H364JP-W40,Hz:60|Voltage:575|Phase:3|Hp:75|RPM:3600|Enclosure:ODP|Frame:364JP,
5902776,07536OT3H364JMV-W40,Hz:60|Voltage:575|Phase:3|Hp:75|RPM:3600|Enclosure:ODP|Frame:364JM,
5902775,07536OT3G364JP-W40,Hz:60|Voltage:460|Phase:3|Hp:75|RPM:3600|Enclosure:ODP|Frame:364JP,
5902774,07536OT3E364TS-W40,Hz:60|Voltage:230/460|Phase:3|Hp:75|RPM:3600|Enclosure:ODP|Frame:364TS,
5902773,07536OT3E364JPV-W40,Hz:60|Voltage:230/460|Phase:3|Hp:75|RPM:3600|Enclosure:ODP|Frame:364JP,
5902772,07536OP3VFP364JPV-W4,Hz:60|Voltage:200/400|Phase:3|Hp:75|RPM:3600|Enclosure:ODP|Frame:364JP,
5902771,07536OP3HFP364JPV-W4,Hz:60|Voltage:575|Phase:3|Hp:75|RPM:3600|Enclosure:ODP|Frame:364JP,
5902770,07536OP3EFP364JPV-W4,Hz:60|Voltage:230/460|Phase:3|Hp:75|RPM:3600|Enclosure:ODP|Frame:364JP,
5902769,07518OT3V365JPV-W40,Hz:60|Voltage:200/400|Phase:3|Hp:75|RPM:1800|Enclosure:ODP|Frame:365JP,
5902768,07518OT3H365T-W40G,Hz:60|Voltage:575|Phase:3|Hp:75|RPM:1800|Enclosure:ODP|Frame:365T,
5902767,07518OT3H365JP-W40,Hz:60|Voltage:575|Phase:3|Hp:75|RPM:1800|Enclosure:ODP|Frame:365JP,
5902766,07518OT3E365TSCF2-W4,Hz:60|Voltage:230/460|Phase:3|Hp:75|RPM:1800|Enclosure:ODP|Frame:365TSC,
5902765,07518OT3E365JPV-W40,Hz:60|Voltage:230/460|Phase:3|Hp:75|RPM:1800|Enclosure:ODP|Frame:365JP,
5902764,07518OT3E365JP-W40,Hz:60|Voltage:230/460|Phase:3|Hp:75|RPM:1800|Enclosure:ODP|Frame:365JP,
5902763,07518OT3E365JM-W40,Hz:60|Voltage:230/460|Phase:3|Hp:75|RPM:1800|Enclosure:ODP|Frame:365JM,
5902762,07518OP3VFP365JPV-W4,Hz:60|Voltage:200/400|Phase:3|Hp:75|RPM:1800|Enclosure:ODP|Frame:365JP,
5902761,07518OP3EFP365JPV-W4,Hz:60|Voltage:230/460|Phase:3|Hp:75|RPM:1800|Enclosure:ODP|Frame:365JP,
5902760,07512OT3E405T-W40G,Hz:60|Voltage:230/460|Phase:3|Hp:75|RPM:1200|Enclosure:ODP|Frame:405T,
5902759,07512OT3E405JP-W40,Hz:60|Voltage:230/460|Phase:3|Hp:75|RPM:1200|Enclosure:ODP|Frame:405JP,
5902758,06036OT3V326JPV-W40,Hz:60|Voltage:200/400|Phase:3|Hp:60|RPM:3600|Enclosure:ODP|Frame:326JP,
5902757,06036OT3H326JMV-W40,Hz:60|Voltage:575|Phase:3|Hp:60|RPM:3600|Enclosure:ODP|Frame:326JM,
5902756,06036OT3E326JPV-W40,Hz:60|Voltage:230/460|Phase:3|Hp:60|RPM:3600|Enclosure:ODP|Frame:326JP,
5902755,06036OP3VFP326JPV-W4,Hz:60|Voltage:200/400|Phase:3|Hp:60|RPM:3600|Enclosure:ODP|Frame:326JP,
5902754,06036OP3VFP326JMV-W4,Hz:60|Voltage:200/400|Phase:3|Hp:60|RPM:3600|Enclosure:ODP|Frame:326JM,
5902753,06036OP3HFP326JPV-W4,Hz:60|Voltage:575|Phase:3|Hp:60|RPM:3600|Enclosure:ODP|Frame:326JP,
5902752,06036OP3HFP326JMV-W4,Hz:60|Voltage:575|Phase:3|Hp:60|RPM:3600|Enclosure:ODP|Frame:326JM,
5902751,06036OP3EFP326JPV-W4,Hz:60|Voltage:230/460|Phase:3|Hp:60|RPM:3600|Enclosure:ODP|Frame:326JP,
5902750,06036OP3EFP326JMV-W4,Hz:60|Voltage:230/460|Phase:3|Hp:60|RPM:3600|Enclosure:ODP|Frame:326JM,
5902749,06018OT3V364JPV-W40,Hz:60|Voltage:200/400|Phase:3|Hp:60|RPM:1800|Enclosure:ODP|Frame:364JP,
5902748,06018OT3H364T-W40G,Hz:60|Voltage:575|Phase:3|Hp:60|RPM:1800|Enclosure:ODP|Frame:364T,
5902747,06018OT3H364JP-W40,Hz:60|Voltage:575|Phase:3|Hp:60|RPM:1800|Enclosure:ODP|Frame:364JP,
5902746,06018OT3E364TSCF2-W4,Hz:60|Voltage:230/460|Phase:3|Hp:60|RPM:1800|Enclosure:ODP|Frame:364TSC,
5902745,06018OT3E364JPV-W40,Hz:60|Voltage:230/460|Phase:3|Hp:60|RPM:1800|Enclosure:ODP|Frame:364JP,
5902744,06018OP3VFP364JPV-W4,Hz:60|Voltage:200/400|Phase:3|Hp:60|RPM:1800|Enclosure:ODP|Frame:364JP,
5902743,06018OP3EFP364JPV-W4,Hz:60|Voltage:230/460|Phase:3|Hp:60|RPM:1800|Enclosure:ODP|Frame:364JP,
5902742,06012OT3E404T-W40G,Hz:60|Voltage:230/460|Phase:3|Hp:60|RPM:1200|Enclosure:ODP|Frame:404T,
5902741,06012OT3E404JP-W40,Hz:60|Voltage:230/460|Phase:3|Hp:60|RPM:1200|Enclosure:ODP|Frame:404JP,
5902740,05036OT3V324JPV-W40,Hz:60|Voltage:200/400|Phase:3|Hp:50|RPM:3600|Enclosure:ODP|Frame:324JP,
5902739,05036OT3V324JMV-W40,Hz:60|Voltage:200/400|Phase:3|Hp:50|RPM:3600|Enclosure:ODP|Frame:324JM,
5902738,05036OT3H324JPV-W40,Hz:60|Voltage:575|Phase:3|Hp:50|RPM:3600|Enclosure:ODP|Frame:324JP,
5902737,05036OT3H324JMV-W40,Hz:60|Voltage:575|Phase:3|Hp:50|RPM:3600|Enclosure:ODP|Frame:324JM,
