id,catalog_number,upc_number,weight,main_image,documents,attributes
5899892,10735549,EXIST,EXIST,EXIST,,
5899891,10735547,EXIST,EXIST,EXIST,,
5899890,10735545,EXIST,EXIST,EXIST,,
5899889,10735543,EXIST,EXIST,EXIST,,
5899888,10735541,EXIST,EXIST,EXIST,,
5899887,10735539,EXIST,EXIST,EXIST,,
5899886,10735537,EXIST,EXIST,EXIST,,
5899885,10735535,EXIST,EXIST,EXIST,,
5899884,10735533,EXIST,EXIST,EXIST,,
5899883,10735531,EXIST,EXIST,EXIST,,
5899882,10735529,EXIST,EXIST,EXIST,,
5899881,10735527,EXIST,EXIST,EXIST,,
5899880,10735525,EXIST,EXIST,EXIST,,
5899879,10735523,EXIST,EXIST,EXIST,,
5899878,10735521,EXIST,EXIST,EXIST,,
5899877,10735519,EXIST,EXIST,EXIST,,
5899876,10735517,EXIST,EXIST,EXIST,,
5899875,10735515,EXIST,EXIST,EXIST,,
5899874,10735513,EXIST,EXIST,EXIST,,
5899873,10735511,EXIST,EXIST,EXIST,,
5899872,10735509,EXIST,EXIST,EXIST,,
5899871,10735507,EXIST,EXIST,EXIST,,
5899870,10735505,EXIST,EXIST,EXIST,,
5899869,10735503,EXIST,EXIST,EXIST,,
5899868,10735501,EXIST,EXIST,EXIST,,
5899867,10735499,EXIST,EXIST,EXIST,,
5899866,10735497,EXIST,EXIST,EXIST,,
5899865,10735495,EXIST,EXIST,EXIST,,
5899864,10735493,EXIST,EXIST,EXIST,,
5899863,10735491,EXIST,EXIST,EXIST,,
5899862,10735489,EXIST,EXIST,EXIST,,
5899861,10735487,EXIST,EXIST,EXIST,,
5899860,10735485,EXIST,EXIST,EXIST,,
5899859,10735483,EXIST,EXIST,EXIST,,
5899858,10735481,EXIST,EXIST,EXIST,,
5899857,10735479,EXIST,EXIST,EXIST,,
5899856,10735477,EXIST,EXIST,EXIST,,
5899855,10735475,EXIST,EXIST,EXIST,,
5899854,10735473,EXIST,EXIST,EXIST,,
5899853,10735471,EXIST,EXIST,EXIST,,
5899852,10735469,EXIST,EXIST,EXIST,,
5899851,10735467,EXIST,EXIST,EXIST,,
5899850,10735465,EXIST,EXIST,EXIST,,
5899849,10735463,EXIST,EXIST,EXIST,,
5899848,10735461,EXIST,EXIST,EXIST,,
5899847,10735459,EXIST,EXIST,EXIST,,
5899846,10735457,EXIST,EXIST,EXIST,,
5899845,10735455,EXIST,EXIST,EXIST,,
5899844,10735453,EXIST,EXIST,EXIST,,
5899843,10735451,EXIST,EXIST,EXIST,,
5899842,10735449,EXIST,EXIST,EXIST,,
5899841,10735447,EXIST,EXIST,EXIST,,
5899840,10735445,EXIST,EXIST,EXIST,,
5899839,10735443,EXIST,EXIST,EXIST,,
5899838,10735441,EXIST,EXIST,EXIST,,
5899837,10735439,EXIST,EXIST,EXIST,,
5899836,10735437,EXIST,EXIST,EXIST,,
5899835,10735435,EXIST,EXIST,EXIST,,
5899834,10735433,EXIST,EXIST,EXIST,,
5899833,10735431,EXIST,EXIST,EXIST,,
5899832,10735429,EXIST,EXIST,EXIST,,
5899831,10735427,EXIST,EXIST,EXIST,,
5899830,10735425,EXIST,EXIST,EXIST,,
5899829,10735423,EXIST,EXIST,EXIST,,
5899828,10735421,EXIST,EXIST,EXIST,,
5899827,10735419,EXIST,EXIST,EXIST,,
5899826,10735417,EXIST,EXIST,EXIST,,
5899825,10735415,EXIST,EXIST,EXIST,,
5899824,10735413,EXIST,EXIST,EXIST,,
5899823,10735411,EXIST,EXIST,EXIST,,
5899822,10735409,EXIST,EXIST,EXIST,,
5899821,10735407,EXIST,EXIST,EXIST,,
5899820,10735405,EXIST,EXIST,EXIST,,
5899819,10735403,EXIST,EXIST,EXIST,,
5899818,10735401,EXIST,EXIST,EXIST,,
5899817,10735399,EXIST,EXIST,EXIST,,
